"Job Title","Company Name","Job Link","Posted Date","Location","Experience","Salary","Skills","Description"
"Data Analyst","unitedhealth group information services","=HYPERLINK(""https://www.timesjobs.com/job-detail/data-analyst-unitedhealth-group-information-services-noida-greater-noida-3-to-6-yrs-jobid-7dPTFVh3gLZzpSvf__PLUS__uAgZw==&source=srp"", ""Apply Now"")","3 days ago","Noida/Greater Noida","3 - 6 Years","Not disclosed","business analysis, data governance, sql querying, data troubleshooting, requirement documentation, healthcare, qa, test data, software development life cycle, system integration, sql queries, sas, testing, uat, business environment, metrics, user acceptance, sdlc","OptumOptum is a global organization that delivers care ,  aided by technology to help millions of people live healthier lives. The work you do with ou..."
"Data Analyst","TARGET","=HYPERLINK(""https://www.timesjobs.com/job-detail/data-analyst-target-bengaluru-bangalore-2-to-5-yrs-jobid-dII2q0RlIaNzpSvf__PLUS__uAgZw==&source=srp"", ""Apply Now"")","5 days ago","Bengaluru / Bangalore","2 - 5 Years","Not disclosed","data analysis expertise, statistical techniques, programming proficiency, reporting and visualization, data management principles, sql, data science, use cases, business analytics, infrastructure, statistical analysis","About us:Target is an iconic brand ,  a Fortune 50 company and one of Americas leading retailers. Working at Target means the opportunity to help all ..."
"Data Analyst","unitedhealth group information services","=HYPERLINK(""https://www.timesjobs.com/job-detail/data-analyst-unitedhealth-group-information-services-noida-greater-noida-3-to-5-yrs-jobid-CJzcSbWN__PLUS__QBzpSvf__PLUS__uAgZw==&source=srp"", ""Apply Now"")","1 day ago","Noida/Greater Noida","3 - 5 Years","Not disclosed",", net core development, sql server management, mvc design patterns, debugging and tuning, automation and scripting, css, jquery, asp.net, web api, .net developer, business environment, triggers, javascript","Optum is a global organization that delivers care ,  aided by technology to help millions of people live healthier lives. The work you do with our tea..."
"Data Analyst","SEVEN CONSULTANCY","=HYPERLINK(""https://www.timesjobs.com/job-detail/data-analyst-seven-consultancy-hyderabad-secunderabad-1-to-3-yrs-jobid-dWwp1IsRdCRzpSvf__PLUS__uAgZw==&source=srp"", ""Apply Now"")","5 days ago","Hyderabad/Secunderabad","1 - 3 Years","Not disclosed","data mining, spss, data warehousing, sql, data science, xml, data visualization, data analytics, data analysis, sas, information management, big data analytics, data analyst, business objects, analyst","JOB DETAILSJob briefWe are looking for a passionate certified Data Analyst. The successful candidate will turn data into information ,  information in..."
"Data Analyst","SWISS RE","=HYPERLINK(""https://www.timesjobs.com/job-detail/data-analyst-swiss-re-bengaluru-bangalore-3-to-5-yrs-jobid-BlvPV0x7xDRzpSvf__PLUS__uAgZw==&source=srp"", ""Apply Now"")","5 days ago","Bengaluru / Bangalore","3 - 5 Years","Not disclosed","data analysis expertise, sql proficiency, programming skills, reporting tools knowledge, agile methodology experience, business requirements, bi, data visualization, data analyst, tableau, forms","About the role:As a Data Analyst in the Digital  & amp; Analytics Bangalore team ,  you will help deliver impactful end-to-end solutions that improve ..."
"Data Analyst","TARGET","=HYPERLINK(""https://www.timesjobs.com/job-detail/data-analyst-target-bengaluru-bangalore-1-to-3-yrs-jobid-__SLASH__PRU3qkqv05zpSvf__PLUS__uAgZw==&source=srp"", ""Apply Now"")","5 days ago","Bengaluru / Bangalore","1 - 3 Years","Not disclosed","data analysis, sql queries, data visualization, problem solving, communication skills, hive, data mining, bi, hadoop, python","About You:About us:As a Fortune 50 company with more than 400 , 000 team members worldwide ,  Target is an iconic brand and one of America's leading r..."
"Data Analyst","SEVEN CONSULTANCY","=HYPERLINK(""https://www.timesjobs.com/job-detail/data-analyst-seven-consultancy-bengaluru-bangalore-3-to-6-yrs-jobid-DVScaPrOV9RzpSvf__PLUS__uAgZw==&source=srp"", ""Apply Now"")","5 days ago","Bengaluru / Bangalore","3 - 6 Years","Not disclosed","data analysis, data analytics, data mining, business analysis, business analyst, data analyst, data science, advanced excel","SALARY: 4 to 5 LakhsLOCATION: Bangalore ,  Bengaluru ,  Karnataka ,  IndiaVACANCIES: 1QUALIFICATION: Any graduateMALE / FEMALE: MaleEXPERIENCE: 3 to 6..."
"Data Analyst","autodesk india pvt ltd","=HYPERLINK(""https://www.timesjobs.com/job-detail/data-analyst-autodesk-india-pvt-ltd-bengaluru-bangalore-3-to-5-yrs-jobid-jxoqpIdBJNFzpSvf__PLUS__uAgZw==&source=srp"", ""Apply Now"")","5 days ago","Bengaluru / Bangalore","3 - 5 Years","Not disclosed","statistical analysis tools   bi  /  data visualization   data presentation skills   python proficiency   sql query writing, algorithms, mining, consultant, written communication, infrastructure, reporting tools","Job Requisition ID # 25WD86554Position OverviewAs a Data Analyst ,  Customer Technical Success  ( CTS )  at Autodesk ,  you will provide analytical ex..."
"Data Analyst","Zeta","=HYPERLINK(""https://www.timesjobs.com/job-detail/data-analyst-zeta-bengaluru-bangalore-1-to-4-yrs-jobid-iVlFh9QRLoJzpSvf__PLUS__uAgZw==&source=srp"", ""Apply Now"")","few days ago","Bengaluru / Bangalore","1 - 4 Years","Not disclosed","sql programming, python expertise, data visualization, etl processes, problem solving skills, api, nosql","About ZetaZeta is a Next-Gen Banking Tech company that empowers banks and fintechs to launch banking products for the future. It was founded by Bhavin..."
"Data Analyst","TARGET","=HYPERLINK(""https://www.timesjobs.com/job-detail/data-analyst-target-bengaluru-bangalore-1-to-4-yrs-jobid-6yN__PLUS__DzhxYLRzpSvf__PLUS__uAgZw==&source=srp"", ""Apply Now"")","6 days ago","Bengaluru / Bangalore","1 - 4 Years","Not disclosed","intermediate sql, data visualization, data mining, problem solving, communication skills, hive, python, hadoop","About us:As a Fortune 50 company with more than 400 , 000 team members worldwide ,  Target is an iconic brand and one of America's leading retailers. ..."
